phase theta,reflectance
130.567,3.68015e-06
130.545,3.68273e-06
130.524,3.6439e-06
130.503,3.77338e-06
130.481,3.74327e-06
130.46,3.76561e-06
130.439,3.72893e-06
130.417,3.80818e-06
130.396,3.76282e-06
130.375,3.83261e-06
130.354,3.76438e-06
130.333,3.87031e-06
130.311,3.82762e-06
130.29,3.77043e-06
130.269,3.79167e-06
130.248,3.73914e-06
130.227,3.78327e-06
130.206,3.75704e-06
130.185,3.78376e-06
130.164,3.72758e-06
130.143,3.71057e-06
130.122,3.7422e-06
130.102,3.66926e-06
130.081,3.69375e-06
130.06,3.69935e-06
130.039,3.6439e-06
130.018,3.63441e-06
129.997,3.6118e-06
129.977,3.61187e-06
129.956,3.55053e-06
129.935,3.55499e-06
129.915,3.61851e-06
129.894,3.58283e-06
129.873,3.60943e-06
129.853,3.54628e-06
129.832,3.58901e-06
129.811,3.53141e-06
129.791,3.58033e-06
129.77,3.57802e-06
129.75,3.58131e-06
129.729,3.55645e-06
129.699,3.52922e-06
140.284,6.13593e-06
143.268,8.4773e-06
143.504,6.95692e-06
146.203,7.38069e-06
173.089,0.000141213
163.49,3.88907e-05
167.598,0.000101769
162.172,4.02707e-05
173.077,0.000138241
163.401,3.775e-05
167.555,0.000100828
162.448,4.2257e-05
173.073,0.00013785
163.331,3.74356e-05
167.522,9.95156e-05
162.692,4.47872e-05
173.065,0.000137624
163.251,3.62206e-05
167.509,9.9358e-05
162.905,4.57259e-05
173.064,0.000137661
163.189,3.67464e-05
167.475,9.85593e-05
162.925,4.45313e-05
173.066,0.00013677
163.132,3.61706e-05
167.465,9.79172e-05
163.045,4.43317e-05
173.067,0.000135582
163.074,3.57211e-05
167.456,9.77567e-05
163.033,4.28332e-05
173.07,0.000135768
163.019,3.5254e-05
167.431,9.65146e-05
162.898,4.12354e-05
173.076,0.000133466
162.972,3.49303e-05
167.424,9.62508e-05
161.903,3.59056e-05
173.084,0.000137381
162.931,3.44654e-05
167.425,9.62108e-05
161.733,3.36551e-05
173.092,0.00013532
162.888,3.39304e-05
167.421,9.58367e-05
161.699,3.19704e-05
173.105,0.000134756
162.815,3.33386e-05
167.425,9.54381e-05
161.655,3.22657e-05
173.118,0.000134695
162.252,3.18307e-05
167.428,9.571e-05
161.645,3.18151e-05
173.133,0.000135359
161.871,3.11027e-05
167.436,9.53967e-05
162.005,3.2329e-05
173.149,0.000134548
161.762,3.05918e-05
167.444,9.49947e-05
162.338,3.5401e-05
173.17,0.000133919
161.586,3.0131e-05
167.461,9.50508e-05
162.298,3.72834e-05
173.19,0.000133366
160.991,2.95367e-05
167.48,9.483e-05
162.254,3.77554e-05
173.214,0.000134092
160.743,2.97602e-05
167.503,9.47576e-05
162.218,3.87208e-05
173.239,0.000136318
160.726,2.93258e-05
167.526,9.48278e-05
162.186,3.8968e-05
173.265,0.000137239
160.714,2.95509e-05
167.557,9.51741e-05
162.159,3.89117e-05
173.294,0.000137315
160.706,2.99021e-05
167.587,9.54393e-05
162.132,3.89755e-05
173.324,0.000137763
160.699,2.90364e-05
167.622,9.5563e-05
162.111,3.94809e-05
173.358,0.000138014
160.705,2.92008e-05
167.663,9.59892e-05
162.101,3.94582e-05
173.391,0.000138259
160.71,2.90561e-05
167.704,9.63462e-05
162.088,3.99038e-05
173.427,0.000142306
160.724,2.92014e-05
167.751,9.69215e-05
162.091,4.00203e-05
173.467,0.000140544
160.742,2.92298e-05
167.803,9.74749e-05
162.092,3.99543e-05
173.507,0.000140651
160.762,2.90759e-05
167.855,9.78994e-05
162.092,3.93195e-05
173.551,0.00014123
160.791,2.9255e-05
167.925,9.72041e-05
162.108,3.91687e-05
173.594,0.00014154
160.824,2.96293e-05
168.015,9.38707e-05
162.117,3.79283e-05
173.643,0.000144053
160.869,2.97823e-05
168.083,9.53769e-05
162.148,3.70427e-05
173.689,0.00014449
160.908,2.99202e-05
168.147,9.53541e-05
162.165,3.52886e-05
173.74,0.000144451
160.959,3.02234e-05
168.214,9.68978e-05
173.792,0.000146568
161.014,3.05164e-05
168.309,9.69473e-05
173.847,0.000147492
161.08,3.08306e-05
168.408,9.60942e-05
162.952,2.62249e-05
173.902,0.000150377
161.14,3.14e-05
168.481,9.73691e-05
163.249,2.5501e-05
173.96,0.000152499
161.22,3.15537e-05
168.596,9.58138e-05
174.022,0.000155413
161.311,3.18408e-05
168.754,9.28781e-05
174.083,0.000156065
161.405,3.14806e-05
168.858,9.30689e-05
174.147,0.000159561
161.515,3.11085e-05
168.965,9.379e-05
174.212,0.000162471
161.631,3.05387e-05
169.077,9.39327e-05
174.281,0.000166546
161.76,3.01871e-05
169.197,9.44671e-05
174.349,0.000170644
161.851,2.95519e-05
169.312,9.54981e-05
174.42,0.000173381
161.936,2.83029e-05
169.429,9.69358e-05
174.498,0.000177762
162.025,2.69937e-05
169.562,9.86993e-05
174.582,0.000176969
162.104,2.6771e-05
169.683,9.99619e-05
174.675,0.00018349
162.219,2.78661e-05
169.823,0.000101318
174.764,0.000189261
162.34,2.94141e-05
169.971,0.000103228
174.839,0.000192816
162.435,3.12462e-05
170.102,0.000102605
174.919,0.00019784
162.549,3.21888e-05
170.241,0.000104287
174.999,0.000202011
162.693,3.29892e-05
170.389,0.000107946
175.077,0.000203601
162.845,3.36441e-05
170.532,0.000110825
175.169,0.000209824
163.01,3.50635e-05
170.683,0.000113394
175.261,0.000215395
163.177,3.582e-05
170.837,0.000115718
175.356,0.000221824
163.346,3.65441e-05
170.998,0.000118503
175.446,0.000225951
