Title: Optical constant for an ensemble of concave and convex particles from Zerull, 1976, used in Pollack & Cuzzi (1979) Figure 7. Wavelength is arbitrary.
Wavelength (um),Real part of the index of refraction (n),Imaginary part of the index of refraction (k)
5, 1.5, 0.005
