Optical constants of epsomite (Mg SO_4 . 7 H_2 O); T = 120 K; averaged. Ref: Dalton; J. B.; and K. M. Pitman (2012); Low temperature optical constants of some hydrated sulfates relevant to planetary surfaces; J. Geophys. Res.
Wavelength (microns), n(lambda), k(lambda), n upper, k upper, n lower, k lower bound 
5.130000E-01,1.450005E+00,1.639942E-07,1.450007E+00,2.460427E-07,1.450004E+00,1.230308E-07
5.160000E-01,1.450005E+00,1.642924E-07,1.450007E+00,2.464047E-07,1.450004E+00,1.231996E-07
5.190000E-01,1.450005E+00,1.649276E-07,1.450007E+00,2.474434E-07,1.450004E+00,1.237189E-07
5.220000E-01,1.450004E+00,1.650887E-07,1.450007E+00,2.476853E-07,1.450003E+00,1.238398E-07
5.250000E-01,1.450004E+00,1.663860E-07,1.450006E+00,2.495570E-07,1.450003E+00,1.248006E-07
5.280000E-01,1.450004E+00,1.671865E-07,1.450006E+00,2.507326E-07,1.450003E+00,1.253885E-07
5.310001E-01,1.450004E+00,1.678847E-07,1.450006E+00,2.517543E-07,1.450003E+00,1.258743E-07
5.340000E-01,1.450004E+00,1.687318E-07,1.450006E+00,2.531766E-07,1.450003E+00,1.265854E-07
5.370001E-01,1.450004E+00,1.698326E-07,1.450005E+00,2.547009E-07,1.450003E+00,1.273603E-07
5.400000E-01,1.450003E+00,1.707814E-07,1.450005E+00,2.562262E-07,1.450003E+00,1.281102E-07
5.430000E-01,1.450003E+00,1.719877E-07,1.450005E+00,2.580617E-07,1.450002E+00,1.290280E-07
5.460000E-01,1.450003E+00,1.728861E-07,1.450004E+00,2.592803E-07,1.450002E+00,1.295854E-07
5.490000E-01,1.450003E+00,1.740964E-07,1.450004E+00,2.611216E-07,1.450002E+00,1.305578E-07
5.520000E-01,1.450003E+00,1.752049E-07,1.450004E+00,2.627579E-07,1.450002E+00,1.313760E-07
5.550000E-01,1.450002E+00,1.763150E-07,1.450004E+00,2.645018E-07,1.450002E+00,1.321953E-07
5.580000E-01,1.450002E+00,1.774798E-07,1.450003E+00,2.661963E-07,1.450002E+00,1.330687E-07
5.610000E-01,1.450002E+00,1.786203E-07,1.450003E+00,2.678935E-07,1.450001E+00,1.339437E-07
5.640000E-01,1.450002E+00,1.797895E-07,1.450003E+00,2.696471E-07,1.450001E+00,1.348339E-07
5.670000E-01,1.450002E+00,1.807727E-07,1.450002E+00,2.711352E-07,1.450001E+00,1.355914E-07
5.700000E-01,1.450001E+00,1.819455E-07,1.450002E+00,2.729483E-07,1.450001E+00,1.364170E-07
5.730000E-01,1.450001E+00,1.830118E-07,1.450002E+00,2.745479E-07,1.450001E+00,1.372981E-07
5.760000E-01,1.450001E+00,1.836011E-07,1.450001E+00,2.753843E-07,1.450001E+00,1.377027E-07
5.790000E-01,1.450001E+00,1.842141E-07,1.450001E+00,2.763792E-07,1.450001E+00,1.381590E-07
5.820000E-01,1.450001E+00,1.853342E-07,1.450001E+00,2.779216E-07,1.450000E+00,1.390129E-07
5.850000E-01,1.450000E+00,1.867335E-07,1.450001E+00,2.800201E-07,1.450000E+00,1.400069E-07
5.880000E-01,1.450000E+00,1.888625E-07,1.450000E+00,2.832411E-07,1.450000E+00,1.416173E-07
5.893000E-01,1.450000E+00,1.897272E-07,1.450000E+00,2.845381E-07,1.450000E+00,1.422659E-07
5.910000E-01,1.450000E+00,1.908071E-07,1.450000E+00,2.862560E-07,1.450000E+00,1.431248E-07
5.940000E-01,1.450000E+00,1.921983E-07,1.450000E+00,2.883852E-07,1.450000E+00,1.441894E-07
5.970001E-01,1.449999E+00,1.928859E-07,1.449999E+00,2.893321E-07,1.450000E+00,1.446345E-07
6.000000E-01,1.449999E+00,1.943674E-07,1.449999E+00,2.915259E-07,1.449999E+00,1.458167E-07
6.030000E-01,1.449999E+00,1.955680E-07,1.449999E+00,2.934411E-07,1.449999E+00,1.467173E-07
6.060000E-01,1.449999E+00,1.969434E-07,1.449998E+00,2.953609E-07,1.449999E+00,1.477347E-07
6.090000E-01,1.449999E+00,1.997671E-07,1.449998E+00,2.996539E-07,1.449999E+00,1.498526E-07
6.120000E-01,1.449998E+00,2.027831E-07,1.449998E+00,3.040909E-07,1.449999E+00,1.520421E-07
6.150000E-01,1.449998E+00,2.062274E-07,1.449997E+00,3.093153E-07,1.449999E+00,1.546543E-07
6.180000E-01,1.449998E+00,2.073507E-07,1.449997E+00,3.110587E-07,1.449998E+00,1.555260E-07
6.210000E-01,1.449998E+00,2.070612E-07,1.449997E+00,3.106835E-07,1.449998E+00,1.553384E-07
6.240000E-01,1.449998E+00,2.076176E-07,1.449996E+00,3.114741E-07,1.449998E+00,1.557337E-07
6.270000E-01,1.449997E+00,2.091807E-07,1.449996E+00,3.136853E-07,1.449998E+00,1.568988E-07
6.300001E-01,1.449997E+00,2.116758E-07,1.449996E+00,3.174573E-07,1.449998E+00,1.586954E-07
6.330001E-01,1.449997E+00,2.143651E-07,1.449995E+00,3.215510E-07,1.449998E+00,1.608021E-07
6.360000E-01,1.449997E+00,2.170100E-07,1.449995E+00,3.254278E-07,1.449997E+00,1.627709E-07
6.390001E-01,1.449996E+00,2.193066E-07,1.449994E+00,3.290543E-07,1.449997E+00,1.645085E-07
6.420000E-01,1.449996E+00,2.214933E-07,1.449994E+00,3.322739E-07,1.449997E+00,1.661640E-07
6.450000E-01,1.449996E+00,2.238133E-07,1.449994E+00,3.356621E-07,1.449997E+00,1.678276E-07
6.480001E-01,1.449996E+00,2.255919E-07,1.449993E+00,3.384529E-07,1.449997E+00,1.692844E-07
