Optical constants of bloedite (Na_2 Mg(SO_4)_2 . 4 H_2 O); T = 120 K; averaged. Ref: Dalton; J. B.; and K. M. Pitman (2012); Low temperature optical constants of some hydrated sulfates relevant to planetary surfaces; J. Geophys. Res.
Wavelength (microns), n(lambda), k(lambda), n upper, k upper, n lower, k lower bound
4.040000E-01,1.485014E+00,2.995528E-06,1.485009E+00,1.639911E-06,1.485021E+00,4.174814E-06
4.050000E-01,1.485014E+00,2.999132E-06,1.485009E+00,1.642100E-06,1.485021E+00,4.179338E-06
4.060000E-01,1.485014E+00,2.988003E-06,1.485009E+00,1.636690E-06,1.485020E+00,4.163344E-06
4.070000E-01,1.485014E+00,2.984034E-06,1.485009E+00,1.634837E-06,1.485020E+00,4.156902E-06
4.080000E-01,1.485014E+00,2.988386E-06,1.485009E+00,1.637422E-06,1.485020E+00,4.162588E-06
4.090000E-01,1.485014E+00,2.975650E-06,1.485009E+00,1.630939E-06,1.485020E+00,4.143651E-06
4.100000E-01,1.485014E+00,2.968184E-06,1.485009E+00,1.627050E-06,1.485020E+00,4.132275E-06
4.110000E-01,1.485014E+00,2.973362E-06,1.485009E+00,1.630205E-06,1.485020E+00,4.139433E-06
4.120000E-01,1.485014E+00,2.985719E-06,1.485009E+00,1.636909E-06,1.485020E+00,4.155957E-06
4.130000E-01,1.485014E+00,2.968430E-06,1.485009E+00,1.627905E-06,1.485020E+00,4.130696E-06
4.140000E-01,1.485014E+00,2.960883E-06,1.485009E+00,1.624219E-06,1.485020E+00,4.119834E-06
4.150000E-01,1.485013E+00,2.964601E-06,1.485009E+00,1.626519E-06,1.485020E+00,4.125092E-06
4.160000E-01,1.485013E+00,2.966574E-06,1.485009E+00,1.627637E-06,1.485020E+00,4.127060E-06
4.170000E-01,1.485013E+00,2.959157E-06,1.485009E+00,1.623766E-06,1.485019E+00,4.115630E-06
4.180000E-01,1.485013E+00,2.953891E-06,1.485009E+00,1.621126E-06,1.485019E+00,4.108100E-06
4.190000E-01,1.485013E+00,2.953947E-06,1.485009E+00,1.621292E-06,1.485019E+00,4.107817E-06
4.200000E-01,1.485013E+00,2.953748E-06,1.485009E+00,1.621479E-06,1.485019E+00,4.106926E-06
4.210000E-01,1.485013E+00,2.947983E-06,1.485008E+00,1.618133E-06,1.485019E+00,4.097597E-06
4.220000E-01,1.485013E+00,2.939940E-06,1.485008E+00,1.614236E-06,1.485019E+00,4.085858E-06
4.230000E-01,1.485013E+00,2.934583E-06,1.485008E+00,1.611758E-06,1.485019E+00,4.078202E-06
4.240000E-01,1.485013E+00,2.936729E-06,1.485008E+00,1.612989E-06,1.485019E+00,4.081161E-06
4.250000E-01,1.485013E+00,2.930911E-06,1.485008E+00,1.610057E-06,1.485019E+00,4.072277E-06
4.260000E-01,1.485013E+00,2.925573E-06,1.485008E+00,1.607651E-06,1.485019E+00,4.064371E-06
4.270000E-01,1.485013E+00,2.928763E-06,1.485008E+00,1.609752E-06,1.485019E+00,4.068856E-06
4.280000E-01,1.485013E+00,2.921708E-06,1.485008E+00,1.605942E-06,1.485018E+00,4.057163E-06
4.290000E-01,1.485013E+00,2.917445E-06,1.485008E+00,1.604059E-06,1.485018E+00,4.051158E-06
4.300000E-01,1.485013E+00,2.916883E-06,1.485008E+00,1.603821E-06,1.485018E+00,4.049404E-06
4.310000E-01,1.485013E+00,2.913373E-06,1.485008E+00,1.602450E-06,1.485018E+00,4.044196E-06
4.320000E-01,1.485013E+00,2.914647E-06,1.485008E+00,1.603550E-06,1.485018E+00,4.046083E-06
4.330000E-01,1.485012E+00,2.913016E-06,1.485008E+00,1.603035E-06,1.485018E+00,4.043253E-06
4.340000E-01,1.485012E+00,2.906532E-06,1.485008E+00,1.599905E-06,1.485018E+00,4.033489E-06
4.350000E-01,1.485012E+00,2.902878E-06,1.485008E+00,1.598255E-06,1.485018E+00,4.027648E-06
4.360000E-01,1.485012E+00,2.901037E-06,1.485008E+00,1.597571E-06,1.485018E+00,4.024048E-06
4.370000E-01,1.485012E+00,2.898575E-06,1.485008E+00,1.596659E-06,1.485018E+00,4.020183E-06
4.380000E-01,1.485012E+00,2.894868E-06,1.485008E+00,1.595104E-06,1.485018E+00,4.014846E-06
4.390000E-01,1.485012E+00,2.893673E-06,1.485008E+00,1.594918E-06,1.485018E+00,4.012856E-06
4.400000E-01,1.485012E+00,2.892262E-06,1.485008E+00,1.594327E-06,1.485018E+00,4.010550E-06
4.410000E-01,1.485012E+00,2.889220E-06,1.485008E+00,1.592895E-06,1.485017E+00,4.005238E-06
4.420000E-01,1.485012E+00,2.883910E-06,1.485008E+00,1.590389E-06,1.485017E+00,3.997008E-06
4.430000E-01,1.485012E+00,2.880962E-06,1.485007E+00,1.589222E-06,1.485017E+00,3.992459E-06
4.440000E-01,1.485012E+00,2.882223E-06,1.485007E+00,1.590136E-06,1.485017E+00,3.994041E-06
4.450000E-01,1.485012E+00,2.884260E-06,1.485007E+00,1.591289E-06,1.485017E+00,3.996006E-06
4.460000E-01,1.485011E+00,2.878108E-06,1.485007E+00,1.588620E-06,1.485017E+00,3.987191E-06
4.470000E-01,1.485011E+00,2.880414E-06,1.485007E+00,1.589922E-06,1.485017E+00,3.989948E-06
4.480000E-01,1.485011E+00,2.880659E-06,1.485007E+00,1.590340E-06,1.485017E+00,3.989361E-06
4.490000E-01,1.485011E+00,2.873517E-06,1.485007E+00,1.587069E-06,1.485017E+00,3.979455E-06
4.500000E-01,1.485011E+00,2.875883E-06,1.485007E+00,1.588533E-06,1.485016E+00,3.982364E-06
4.510000E-01,1.485011E+00,2.876733E-06,1.485007E+00,1.589047E-06,1.485016E+00,3.982848E-06
4.520000E-01,1.485011E+00,2.873497E-06,1.485007E+00,1.587544E-06,1.485016E+00,3.977777E-06
4.530000E-01,1.485011E+00,2.869332E-06,1.485007E+00,1.585668E-06,1.485016E+00,3.972401E-06
4.540000E-01,1.485011E+00,2.873861E-06,1.485007E+00,1.588075E-06,1.485016E+00,3.977299E-06
4.550000E-01,1.485011E+00,2.874808E-06,1.485007E+00,1.588693E-06,1.485016E+00,3.978950E-06
4.560000E-01,1.485011E+00,2.871431E-06,1.485007E+00,1.587182E-06,1.485016E+00,3.974127E-06
4.570000E-01,1.485011E+00,2.870959E-06,1.485007E+00,1.587102E-06,1.485016E+00,3.972714E-06
4.580000E-01,1.485011E+00,2.869145E-06,1.485007E+00,1.585976E-06,1.485016E+00,3.969617E-06
4.590000E-01,1.485011E+00,2.868978E-06,1.485007E+00,1.586165E-06,1.485016E+00,3.969023E-06
4.600000E-01,1.485010E+00,2.871140E-06,1.485006E+00,1.587386E-06,1.485016E+00,3.972185E-06
4.610000E-01,1.485010E+00,2.867404E-06,1.485006E+00,1.585408E-06,1.485016E+00,3.965946E-06
4.620000E-01,1.485010E+00,2.868971E-06,1.485006E+00,1.586605E-06,1.485015E+00,3.968537E-06
4.630000E-01,1.485010E+00,2.872889E-06,1.485006E+00,1.588648E-06,1.485015E+00,3.973299E-06
4.640000E-01,1.485010E+00,2.871196E-06,1.485006E+00,1.587812E-06,1.485015E+00,3.970505E-06
4.650000E-01,1.485010E+00,2.869543E-06,1.485006E+00,1.587010E-06,1.485015E+00,3.967778E-06
