Title: Optical constant for various sized cubes from Zerull & Giese, 1974, used in Pollack & Cuzzi (1979) Figure 3. Wavelength is arbitrary.
Wavelength (um),Real part of the index of refraction (n),Imaginary part of the index of refraction (k)
5, 1.57, 0.006
